N,est_wide,relerr_wide,est_narrow,relerr_narrow,rect_wide_area,rect_narrow_area,exactS
100,0.874992,0.073609,0.76,0.195356,9.72214,1,0.944517
600,0.826382,0.125075,0.795,0.1583,9.72214,1,0.944517
1100,0.972214,0.0293234,0.796364,0.156856,9.72214,1,0.944517
1600,1.03298,0.0936561,0.79,0.163594,9.72214,1,0.944517
2100,0.925918,0.019692,0.780952,0.173173,9.72214,1,0.944517
2600,0.949778,0.00556974,0.796538,0.156671,9.72214,1,0.944517
3100,0.915762,0.0304438,0.781935,0.172132,9.72214,1,0.944517
3600,0.883094,0.0650313,0.786667,0.167123,9.72214,1,0.944517
4100,0.92716,0.018377,0.783415,0.170566,9.72214,1,0.944517
4600,0.925716,0.0199052,0.777826,0.176483,9.72214,1,0.944517
5100,1.03893,0.0999632,0.785098,0.168784,9.72214,1,0.944517
5600,0.892353,0.0552282,0.784286,0.169644,9.72214,1,0.944517
6100,0.93715,0.00779979,0.788033,0.165677,9.72214,1,0.944517
6600,0.895615,0.0517749,0.783636,0.170331,9.72214,1,0.944517
7100,0.942089,0.00257117,0.786056,0.167769,9.72214,1,0.944517
7600,0.938954,0.00589034,0.790789,0.162758,9.72214,1,0.944517
8100,0.943407,0.00117512,0.77963,0.174573,9.72214,1,0.944517
8600,0.863687,0.0855779,0.784884,0.169011,9.72214,1,0.944517
9100,0.975419,0.0327167,0.786593,0.167201,9.72214,1,0.944517
9600,1.00766,0.0668508,0.786354,0.167454,9.72214,1,0.944517
10100,0.93756,0.0073654,0.786337,0.167472,9.72214,1,0.944517
10600,0.923603,0.0221428,0.794434,0.158899,9.72214,1,0.944517
11100,0.989731,0.0478697,0.788108,0.165597,9.72214,1,0.944517
11600,0.968861,0.025774,0.784741,0.169161,9.72214,1,0.944517
12100,0.936057,0.00895727,0.779339,0.174881,9.72214,1,0.944517
12600,0.935177,0.00988897,0.79127,0.162249,9.72214,1,0.944517
13100,0.96405,0.0206802,0.784656,0.169251,9.72214,1,0.944517
13600,0.958631,0.0149431,0.787353,0.166396,9.72214,1,0.944517
14100,0.960492,0.0169131,0.786028,0.167799,9.72214,1,0.944517
14600,0.956898,0.013108,0.785479,0.16838,9.72214,1,0.944517
15100,0.955473,0.0115999,0.782119,0.171938,9.72214,1,0.944517
15600,0.936067,0.00894636,0.780962,0.173163,9.72214,1,0.944517
16100,0.954702,0.0107827,0.789689,0.163923,9.72214,1,0.944517
16600,0.906033,0.040745,0.786084,0.16774,9.72214,1,0.944517
17100,0.980173,0.0377506,0.78538,0.168485,9.72214,1,0.944517
17600,0.954537,0.0106084,0.788295,0.165399,9.72214,1,0.944517
18100,0.890032,0.0576857,0.787182,0.166577,9.72214,1,0.944517
18600,0.964896,0.0215758,0.782473,0.171563,9.72214,1,0.944517
19100,0.89688,0.0504357,0.786597,0.167197,9.72214,1,0.944517
19600,0.957333,0.0135684,0.789388,0.164242,9.72214,1,0.944517
20100,0.907399,0.0392982,0.783483,0.170494,9.72214,1,0.944517
20600,0.948616,0.00433978,0.783398,0.170584,9.72214,1,0.944517
21100,0.958391,0.0146884,0.788673,0.164999,9.72214,1,0.944517
21600,0.907849,0.0388217,0.784167,0.16977,9.72214,1,0.944517
22100,0.948018,0.00370671,0.782443,0.171594,9.72214,1,0.944517
22600,0.960599,0.0170261,0.784027,0.169918,9.72214,1,0.944517
23100,0.957483,0.0137275,0.783983,0.169965,9.72214,1,0.944517
23600,0.921131,0.0247597,0.779195,0.175034,9.72214,1,0.944517
24100,0.915736,0.0304714,0.781618,0.172468,9.72214,1,0.944517
24600,0.920441,0.0254902,0.785488,0.168371,9.72214,1,0.944517
25100,0.921473,0.0243983,0.784104,0.169837,9.72214,1,0.944517
25600,0.929679,0.0157095,0.782383,0.171658,9.72214,1,0.944517
26100,0.943159,0.00143804,0.785977,0.167853,9.72214,1,0.944517
26600,0.971483,0.0285494,0.783835,0.170121,9.72214,1,0.944517
27100,0.943155,0.0014424,0.788487,0.165196,9.72214,1,0.944517
27600,0.934523,0.0105816,0.782283,0.171765,9.72214,1,0.944517
28100,0.914088,0.0322163,0.784911,0.168982,9.72214,1,0.944517
28600,0.984451,0.0422799,0.787378,0.16637,9.72214,1,0.944517
29100,0.969875,0.0268473,0.784433,0.169488,9.72214,1,0.944517
29600,0.967944,0.0248027,0.787466,0.166276,9.72214,1,0.944517
30100,0.917951,0.0281273,0.786877,0.1669,9.72214,1,0.944517
30600,0.925192,0.0204609,0.785752,0.168092,9.72214,1,0.944517
31100,0.940327,0.00443581,0.784019,0.169926,9.72214,1,0.944517
31600,0.936525,0.00846194,0.785095,0.168787,9.72214,1,0.944517
32100,0.935566,0.00947669,0.789751,0.163858,9.72214,1,0.944517
32600,0.956706,0.0129047,0.784969,0.16892,9.72214,1,0.944517
33100,0.957234,0.0134637,0.783505,0.170471,9.72214,1,0.944517
33600,0.923024,0.0227555,0.786905,0.166871,9.72214,1,0.944517
34100,0.933154,0.0120307,0.785982,0.167847,9.72214,1,0.944517
34600,0.937371,0.00756569,0.788931,0.164726,9.72214,1,0.944517
35100,0.944792,0.000291155,0.783191,0.170803,9.72214,1,0.944517
35600,0.942719,0.00190331,0.785028,0.168858,9.72214,1,0.944517
36100,0.963596,0.0201992,0.785457,0.168404,9.72214,1,0.944517
36600,0.932103,0.0131433,0.786366,0.167441,9.72214,1,0.944517
37100,0.948629,0.00435324,0.786092,0.167732,9.72214,1,0.944517
37600,0.936014,0.00900252,0.783271,0.170718,9.72214,1,0.944517
38100,0.971703,0.028783,0.785066,0.168818,9.72214,1,0.944517
38600,0.960879,0.0173235,0.786503,0.167297,9.72214,1,0.944517
39100,0.927706,0.0177991,0.783734,0.170228,9.72214,1,0.944517
39600,0.94889,0.00462999,0.787677,0.166054,9.72214,1,0.944517
40100,0.952333,0.00827484,0.782444,0.171594,9.72214,1,0.944517
40600,0.942281,0.00236764,0.78697,0.166801,9.72214,1,0.944517
41100,0.927033,0.0185114,0.784112,0.169828,9.72214,1,0.944517
41600,0.94043,0.0043276,0.78488,0.169015,9.72214,1,0.944517
42100,0.954894,0.0109862,0.786081,0.167743,9.72214,1,0.944517
42600,0.942089,0.00257117,0.786643,0.167148,9.72214,1,0.944517
43100,0.943792,0.000768236,0.783039,0.170963,9.72214,1,0.944517
43600,0.952368,0.00831193,0.78445,0.16947,9.72214,1,0.944517
44100,0.946861,0.00248159,0.78576,0.168083,9.72214,1,0.944517
44600,0.947145,0.0027825,0.788363,0.165327,9.72214,1,0.944517
45100,0.952597,0.0085543,0.783925,0.170026,9.72214,1,0.944517
45600,0.920405,0.0255287,0.785746,0.168098,9.72214,1,0.944517
46100,0.932355,0.0128767,0.783839,0.170116,9.72214,1,0.944517
46600,0.926524,0.0190504,0.787554,0.166184,9.72214,1,0.944517
47100,0.940632,0.00411327,0.785775,0.168067,9.72214,1,0.944517
47600,0.9475,0.00315778,0.785105,0.168776,9.72214,1,0.944517
48100,0.92997,0.0154019,0.787464,0.166279,9.72214,1,0.944517
48600,0.948808,0.00454335,0.784918,0.168975,9.72214,1,0.944517
49100,0.941721,0.00296092,0.784623,0.169286,9.72214,1,0.944517
49600,0.925563,0.0200676,0.784899,0.168994,9.72214,1,0.944517
50100,0.93185,0.013411,0.783932,0.170018,9.72214,1,0.944517
50600,0.93955,0.00525866,0.786996,0.166774,9.72214,1,0.944517
51100,0.945197,0.000719846,0.789139,0.164505,9.72214,1,0.944517
51600,0.935096,0.00997446,0.786434,0.167369,9.72214,1,0.944517
52100,0.949075,0.00482506,0.785336,0.168532,9.72214,1,0.944517
52600,0.928593,0.0168592,0.785285,0.168586,9.72214,1,0.944517
53100,0.946032,0.00160334,0.788663,0.165009,9.72214,1,0.944517
53600,0.955164,0.0112718,0.786399,0.167406,9.72214,1,0.944517
54100,0.933217,0.0119637,0.785804,0.168036,9.72214,1,0.944517
54600,0.939272,0.00555299,0.782015,0.172048,9.72214,1,0.944517
55100,0.96145,0.0179279,0.783521,0.170454,9.72214,1,0.944517
55600,0.95228,0.00821852,0.784712,0.169192,9.72214,1,0.944517
56100,0.946392,0.00198482,0.78902,0.164632,9.72214,1,0.944517
56600,0.926179,0.0194149,0.788675,0.164997,9.72214,1,0.944517
57100,0.939352,0.00546814,0.785447,0.168415,9.72214,1,0.944517
57600,0.936431,0.00856147,0.784635,0.169274,9.72214,1,0.944517
58100,0.946444,0.00204008,0.788244,0.165453,9.72214,1,0.944517
58600,0.944175,0.000361912,0.786877,0.1669,9.72214,1,0.944517
59100,0.93372,0.0114316,0.784484,0.169434,9.72214,1,0.944517
59600,0.939589,0.0052177,0.784446,0.169474,9.72214,1,0.944517
60100,0.932257,0.01298,0.781681,0.172402,9.72214,1,0.944517
60600,0.93724,0.00770511,0.785198,0.168678,9.72214,1,0.944517
61100,0.951687,0.00759132,0.786776,0.167007,9.72214,1,0.944517
61600,0.926917,0.0186338,0.786688,0.1671,9.72214,1,0.944517
62100,0.919298,0.026701,0.786151,0.167669,9.72214,1,0.944517
62600,0.951247,0.00712548,0.784984,0.168904,9.72214,1,0.944517
63100,0.93539,0.0096637,0.784279,0.169651,9.72214,1,0.944517
63600,0.940265,0.0045019,0.785959,0.167872,9.72214,1,0.944517
