size,type,threshold,median_us
500,random,0,95
500,reversed,0,79
500,almost,0,79
500,random,5,60
500,reversed,5,45
500,almost,5,43
500,random,10,52
500,reversed,10,37
500,almost,10,34
500,random,20,45
500,reversed,20,32
500,almost,20,27
500,random,30,44
500,reversed,30,32
500,almost,30,27
500,random,50,47
500,reversed,50,43
500,almost,50,21
600,random,0,127
600,reversed,0,102
600,almost,0,102
600,random,5,74
600,reversed,5,52
600,almost,5,51
600,random,10,68
600,reversed,10,44
600,almost,10,41
600,random,20,56
600,reversed,20,40
600,almost,20,32
600,random,30,56
600,reversed,30,40
600,almost,30,32
600,random,50,59
600,reversed,50,88
600,almost,50,41
700,random,0,231
700,reversed,0,120
700,almost,0,117
700,random,5,91
700,reversed,5,64
700,almost,5,63
700,random,10,81
700,reversed,10,56
700,almost,10,53
700,random,20,71
700,reversed,20,49
700,almost,20,46
700,random,30,100
700,reversed,30,81
700,almost,30,63
700,random,50,124
700,reversed,50,70
700,almost,50,28
800,random,0,170
800,reversed,0,139
800,almost,0,145
800,random,5,115
800,reversed,5,82
800,almost,5,81
800,random,10,95
800,reversed,10,67
800,almost,10,65
800,random,20,85
800,reversed,20,55
800,almost,20,51
800,random,30,82
800,reversed,30,61
800,almost,30,43
800,random,50,94
800,reversed,50,93
800,almost,50,35
900,random,0,295
900,reversed,0,154
900,almost,0,154
900,random,5,128
900,reversed,5,129
900,almost,5,88
900,random,10,108
900,reversed,10,72
900,almost,10,72
900,random,20,95
900,reversed,20,64
900,almost,20,59
900,random,30,96
900,reversed,30,73
900,almost,30,48
900,random,50,95
900,reversed,50,73
900,almost,50,48
1000,random,0,211
1000,reversed,0,176
1000,almost,0,198
1000,random,5,147
1000,reversed,5,93
1000,almost,5,93
1000,random,10,119
1000,reversed,10,77
1000,almost,10,75
1000,random,20,106
1000,reversed,20,69
1000,almost,20,62
1000,random,30,105
1000,reversed,30,69
1000,almost,30,63
1000,random,50,106
1000,reversed,50,84
1000,almost,50,52
1100,random,0,236
1100,reversed,0,194
1100,almost,0,302
1100,random,5,256
1100,reversed,5,122
1100,almost,5,180
1100,random,10,148
1100,reversed,10,116
1100,almost,10,153
1100,random,20,203
1100,reversed,20,80
1100,almost,20,69
1100,random,30,123
1100,reversed,30,81
1100,almost,30,68
1100,random,50,122
1100,reversed,50,100
1100,almost,50,57
1200,random,0,417
1200,reversed,0,388
1200,almost,0,206
1200,random,5,159
1200,reversed,5,108
1200,almost,5,107
1200,random,10,143
1200,reversed,10,90
1200,almost,10,87
1200,random,20,132
1200,reversed,20,87
1200,almost,20,73
