sort_type,size,type,median_us
quicksort,500,random,95
quicksort,500,reversed,95
quicksort,500,almost,85
hybridsort,500,random,60
hybridsort,500,reversed,39
hybridsort,500,almost,41
quicksort,600,random,116
quicksort,600,reversed,105
quicksort,600,almost,140
hybridsort,600,random,76
hybridsort,600,reversed,51
hybridsort,600,almost,51
quicksort,700,random,166
quicksort,700,reversed,124
quicksort,700,almost,193
hybridsort,700,random,88
hybridsort,700,reversed,57
hybridsort,700,almost,53
quicksort,800,random,166
quicksort,800,reversed,159
quicksort,800,almost,151
hybridsort,800,random,106
hybridsort,800,reversed,64
hybridsort,800,almost,67
quicksort,900,random,177
quicksort,900,reversed,165
quicksort,900,almost,344
hybridsort,900,random,171
hybridsort,900,reversed,89
hybridsort,900,almost,80
quicksort,1000,random,214
quicksort,1000,reversed,204
quicksort,1000,almost,176
hybridsort,1000,random,131
hybridsort,1000,reversed,95
hybridsort,1000,almost,87
quicksort,1100,random,326
quicksort,1100,reversed,252
quicksort,1100,almost,216
hybridsort,1100,random,155
hybridsort,1100,reversed,93
hybridsort,1100,almost,102
quicksort,1200,random,415
quicksort,1200,reversed,227
quicksort,1200,almost,213
hybridsort,1200,random,187
hybridsort,1200,reversed,187
hybridsort,1200,almost,170
quicksort,1300,random,267
quicksort,1300,reversed,258
quicksort,1300,almost,243
hybridsort,1300,random,176
hybridsort,1300,reversed,119
hybridsort,1300,almost,110
quicksort,1400,random,293
quicksort,1400,reversed,344
quicksort,1400,almost,419
hybridsort,1400,random,363
hybridsort,1400,reversed,126
hybridsort,1400,almost,135
quicksort,1500,random,315
quicksort,1500,reversed,435
quicksort,1500,almost,354
hybridsort,1500,random,228
hybridsort,1500,reversed,150
hybridsort,1500,almost,130
quicksort,1600,random,347
quicksort,1600,reversed,325
quicksort,1600,almost,299
hybridsort,1600,random,267
hybridsort,1600,reversed,172
hybridsort,1600,almost,139
quicksort,1700,random,376
quicksort,1700,reversed,314
quicksort,1700,almost,305
hybridsort,1700,random,254
hybridsort,1700,reversed,185
hybridsort,1700,almost,232
quicksort,1800,random,423
quicksort,1800,reversed,346
quicksort,1800,almost,379
hybridsort,1800,random,280
hybridsort,1800,reversed,168
hybridsort,1800,almost,173
quicksort,1900,random,506
quicksort,1900,reversed,370
quicksort,1900,almost,392
hybridsort,1900,random,440
hybridsort,1900,reversed,171
hybridsort,1900,almost,179
quicksort,2000,random,598
quicksort,2000,reversed,385
quicksort,2000,almost,422
hybridsort,2000,random,304
hybridsort,2000,reversed,190
hybridsort,2000,almost,175
quicksort,2100,random,526
quicksort,2100,reversed,416
quicksort,2100,almost,419
hybridsort,2100,random,329
hybridsort,2100,reversed,254
hybridsort,2100,almost,450
quicksort,2200,random,674
quicksort,2200,reversed,625
quicksort,2200,almost,844
hybridsort,2200,random,371
hybridsort,2200,reversed,230
hybridsort,2200,almost,205
quicksort,2300,random,522
quicksort,2300,reversed,537
quicksort,2300,almost,501
hybridsort,2300,random,374
hybridsort,2300,reversed,259
hybridsort,2300,almost,234
quicksort,2400,random,539
quicksort,2400,reversed,739
quicksort,2400,almost,533
hybridsort,2400,random,375
hybridsort,2400,reversed,262
hybridsort,2400,almost,245
quicksort,2500,random,881
quicksort,2500,reversed,542
quicksort,2500,almost,532
hybridsort,2500,random,427
hybridsort,2500,reversed,246
hybridsort,2500,almost,366
quicksort,2600,random,440
quicksort,2600,reversed,410
quicksort,2600,almost,516
hybridsort,2600,random,409
hybridsort,2600,reversed,282
hybridsort,2600,almost,174
quicksort,2700,random,418
quicksort,2700,reversed,393
quicksort,2700,almost,359
hybridsort,2700,random,308
hybridsort,2700,reversed,219
hybridsort,2700,almost,367
quicksort,2800,random,445
quicksort,2800,reversed,446
quicksort,2800,almost,406
hybridsort,2800,random,323
hybridsort,2800,reversed,212
hybridsort,2800,almost,346
quicksort,2900,random,469
quicksort,2900,reversed,421
quicksort,2900,almost,428
hybridsort,2900,random,346
hybridsort,2900,reversed,409
hybridsort,2900,almost,219
quicksort,3000,random,669
quicksort,3000,reversed,647
quicksort,3000,almost,655
hybridsort,3000,random,388
hybridsort,3000,reversed,227
hybridsort,3000,almost,215
quicksort,3100,random,511
quicksort,3100,reversed,492
quicksort,3100,almost,463
hybridsort,3100,random,365
hybridsort,3100,reversed,226
hybridsort,3100,almost,239
quicksort,3200,random,612
quicksort,3200,reversed,656
quicksort,3200,almost,501
hybridsort,3200,random,371
hybridsort,3200,reversed,252
hybridsort,3200,almost,288
quicksort,3300,random,538
quicksort,3300,reversed,556
quicksort,3300,almost,489
hybridsort,3300,random,529
hybridsort,3300,reversed,358
hybridsort,3300,almost,287
quicksort,3400,random,606
quicksort,3400,reversed,519
quicksort,3400,almost,527
