Step,Exact_Count,Estimated_Count
100,100,100.80
200,200,208.94
300,300,306.66
400,400,407.23
500,500,508.85
600,599,598.10
700,699,697.85
800,796,793.08
900,894,888.51
1000,992,991.12
1100,1091,1084.78
1200,1189,1187.87
1300,1287,1270.90
1400,1387,1384.18
1500,1486,1502.86
1600,1583,1607.86
1700,1677,1730.28
1800,1775,1844.81
1900,1871,1920.23
2000,1970,2037.59
2100,2068,2161.86
2200,2167,2239.02
2300,2265,2351.86
2400,2363,2423.93
2500,2459,2564.60
2600,2559,2652.60
2700,2656,2721.88
2800,2754,2795.61
2900,2852,2914.79
3000,2948,2982.75
3100,3043,3033.46
3200,3141,3115.55
3300,3239,3210.18
3400,3336,3276.69
3500,3432,3349.43
3600,3526,3422.42
3700,3625,3541.09
3800,3723,3684.22
3900,3823,3828.12
4000,3919,3915.85
4100,4017,4008.53
4200,4113,4100.14
4300,4211,4176.77
4400,4309,4271.21
4500,4408,4376.36
4600,4506,4494.90
4700,4602,4598.34
4800,4701,4709.58
4900,4795,4777.98
5000,4892,4834.11
5100,4988,4949.27
5200,5087,4992.32
5300,5184,5075.51
5400,5281,5126.46
5500,5379,5190.57
5600,5476,5283.87
5700,5573,5381.34
5800,5673,5533.13
5900,5771,5629.27
6000,5870,5753.17
6100,5970,5834.21
6200,6067,5910.16
6300,6166,6038.96
6400,6261,6085.60
6500,6359,6169.46
6600,6455,6274.53
6700,6552,6449.87
6800,6645,6516.80
6900,6741,6612.61
7000,6836,6695.01
7100,6931,6782.33
7200,7024,6859.79
7300,7123,6928.84
7400,7218,7009.70
7500,7313,7076.11
7600,7412,7187.61
7700,7507,7321.85
7800,7600,7399.44
7900,7696,7447.30
8000,7791,7542.12
8100,7889,7682.31
8200,7988,7724.65
8300,8082,7834.63
8400,8180,7919.97
8500,8279,8056.88
8600,8375,8144.23
8700,8470,8208.52
8800,8569,8285.88
8900,8667,8387.93
9000,8762,8513.27
9100,8858,8577.74
9200,8955,8680.14
9300,9052,8845.07
9400,9146,8918.48
9500,9245,9019.12
9600,9340,9052.57
9700,9439,9165.72
9800,9536,9279.16
9900,9632,9361.80
10000,9725,9473.69
