Step,Exact_Count,Estimated_Count
100,100,100.80
200,200,204.04
300,300,299.93
400,400,398.34
500,500,490.93
600,600,583.85
700,698,695.88
800,797,801.80
900,895,888.51
1000,995,996.40
1100,1093,1102.23
1200,1191,1197.49
1300,1286,1316.89
1400,1385,1395.84
1500,1484,1489.93
1600,1582,1547.20
1700,1677,1637.12
1800,1776,1752.18
1900,1873,1881.83
2000,1969,1966.94
2100,2065,2059.77
2200,2164,2121.38
2300,2259,2256.98
2400,2354,2382.13
2500,2449,2569.52
2600,2546,2675.69
2700,2641,2756.16
2800,2738,2879.07
2900,2838,2956.62
3000,2932,3012.80
3100,3029,3124.65
3200,3128,3229.14
3300,3226,3314.43
3400,3321,3399.01
3500,3415,3488.95
3600,3509,3532.26
3700,3604,3648.95
3800,3701,3696.58
3900,3799,3797.16
4000,3893,3897.75
4100,3991,4007.16
4200,4089,4092.07
4300,4187,4190.11
4400,4284,4261.75
4500,4382,4326.92
4600,4479,4414.81
4700,4578,4522.59
4800,4677,4597.19
4900,4774,4708.42
5000,4870,4803.10
5100,4961,4878.79
5200,5060,5017.18
5300,5160,5126.49
5400,5258,5213.26
5500,5356,5352.48
5600,5455,5445.92
5700,5553,5536.64
5800,5649,5627.66
5900,5745,5704.68
6000,5840,5818.28
6100,5938,5948.36
6200,6036,6051.25
6300,6134,6166.51
6400,6227,6267.22
6500,6325,6309.23
6600,6421,6395.18
6700,6518,6462.27
6800,6613,6537.62
6900,6710,6661.69
7000,6806,6732.18
7100,6901,6850.57
7200,6996,6903.26
7300,7093,6986.42
7400,7191,7070.96
7500,7288,7170.10
7600,7386,7241.78
7700,7484,7333.42
7800,7581,7375.36
7900,7678,7479.46
8000,7772,7532.99
8100,7866,7603.77
8200,7962,7700.64
8300,8060,7736.37
8400,8155,7781.19
8500,8254,7855.45
8600,8351,7964.13
8700,8449,8134.96
8800,8548,8259.68
8900,8645,8320.03
9000,8740,8391.51
9100,8838,8420.73
9200,8934,8611.16
9300,9031,8696.92
9400,9127,8843.25
9500,9221,8965.82
9600,9316,9014.29
9700,9412,9080.73
9800,9508,9121.41
9900,9605,9228.91
10000,9700,9434.18
