Size,ArrayType,Algorithm,TimeMs,Comparisons
100,Random,MergeSort,0.0538,622
100,Random,QuickSort,0.0054,600
100,Random,TernaryQuickSort,0.0030,1018
100,Random,StringMergeSort,0.0507,1718
100,Random,MSDRadix,0.0188,0
100,Random,MSDRadix_Fallback,0.0022,113
100,Reverse_Sorted,MergeSort,0.0460,597
100,Reverse_Sorted,QuickSort,0.0152,6826
100,Reverse_Sorted,TernaryQuickSort,0.0026,1202
100,Reverse_Sorted,StringMergeSort,0.0460,1229
100,Reverse_Sorted,MSDRadix,0.0153,0
100,Reverse_Sorted,MSDRadix_Fallback,0.0050,1475
100,Nearly_Sorted,MergeSort,0.0442,837
100,Nearly_Sorted,QuickSort,0.0155,6473
100,Nearly_Sorted,TernaryQuickSort,0.0028,1699
100,Nearly_Sorted,StringMergeSort,0.0450,1861
100,Nearly_Sorted,MSDRadix,0.0143,0
100,Nearly_Sorted,MSDRadix_Fallback,0.0032,1236
100,Common_Prefix,MergeSort,0.0581,8096
100,Common_Prefix,QuickSort,0.0111,9971
100,Common_Prefix,TernaryQuickSort,0.0043,3691
100,Common_Prefix,StringMergeSort,0.0606,9154
100,Common_Prefix,MSDRadix,0.0371,0
100,Common_Prefix,MSDRadix_Fallback,0.0196,81
200,Random,MergeSort,0.1251,1504
200,Random,QuickSort,0.0138,1626
200,Random,TernaryQuickSort,0.0079,2319
200,Random,StringMergeSort,0.1209,4076
200,Random,MSDRadix,0.0363,0
200,Random,MSDRadix_Fallback,0.0040,319
200,Reverse_Sorted,MergeSort,0.1172,1324
200,Reverse_Sorted,QuickSort,0.0534,23942
200,Reverse_Sorted,TernaryQuickSort,0.0113,3125
200,Reverse_Sorted,StringMergeSort,0.1181,2788
200,Reverse_Sorted,MSDRadix,0.0275,0
200,Reverse_Sorted,MSDRadix_Fallback,0.0112,3194
200,Nearly_Sorted,MergeSort,0.0936,1840
200,Nearly_Sorted,QuickSort,0.0429,20569
200,Nearly_Sorted,TernaryQuickSort,0.0053,3514
200,Nearly_Sorted,StringMergeSort,0.0950,4308
200,Nearly_Sorted,MSDRadix,0.0235,0
200,Nearly_Sorted,MSDRadix_Fallback,0.0050,2206
200,Common_Prefix,MergeSort,0.1221,19360
200,Common_Prefix,QuickSort,0.0253,26213
200,Common_Prefix,TernaryQuickSort,0.0088,7767
200,Common_Prefix,StringMergeSort,0.1257,21868
200,Common_Prefix,MSDRadix,0.0614,0
200,Common_Prefix,MSDRadix_Fallback,0.0284,299
300,Random,MergeSort,0.1730,2555
300,Random,QuickSort,0.0191,3337
300,Random,TernaryQuickSort,0.0099,3957
300,Random,StringMergeSort,0.1720,6781
300,Random,MSDRadix,0.0470,0
300,Random,MSDRadix_Fallback,0.0049,651
300,Reverse_Sorted,MergeSort,0.1467,2032
300,Reverse_Sorted,QuickSort,0.0845,50575
300,Reverse_Sorted,TernaryQuickSort,0.0079,4590
300,Reverse_Sorted,StringMergeSort,0.1456,4392
300,Reverse_Sorted,MSDRadix,0.0368,0
300,Reverse_Sorted,MSDRadix_Fallback,0.0119,4521
300,Nearly_Sorted,MergeSort,0.1649,2874
300,Nearly_Sorted,QuickSort,0.0884,42765
300,Nearly_Sorted,TernaryQuickSort,0.0097,5565
300,Nearly_Sorted,StringMergeSort,0.1734,6892
300,Nearly_Sorted,MSDRadix,0.0339,0
300,Nearly_Sorted,MSDRadix_Fallback,0.0085,3183
300,Common_Prefix,MergeSort,0.1867,31844
300,Common_Prefix,QuickSort,0.0359,38472
300,Common_Prefix,TernaryQuickSort,0.0123,11774
300,Common_Prefix,StringMergeSort,0.1887,35972
300,Common_Prefix,MSDRadix,0.0716,0
300,Common_Prefix,MSDRadix_Fallback,0.0351,612
400,Random,MergeSort,0.2286,3651
400,Random,QuickSort,0.0259,4205
400,Random,TernaryQuickSort,0.0133,5646
400,Random,StringMergeSort,0.2340,9569
400,Random,MSDRadix,0.0477,0
400,Random,MSDRadix_Fallback,0.0065,984
400,Reverse_Sorted,MergeSort,0.2006,2806
400,Reverse_Sorted,QuickSort,0.1329,87401
400,Reverse_Sorted,TernaryQuickSort,0.0121,6798
400,Reverse_Sorted,StringMergeSort,0.1991,6134
400,Reverse_Sorted,MSDRadix,0.0461,0
400,Reverse_Sorted,MSDRadix_Fallback,0.0144,5987
400,Nearly_Sorted,MergeSort,0.1899,4109
400,Nearly_Sorted,QuickSort,0.1283,65201
400,Nearly_Sorted,TernaryQuickSort,0.0103,8093
400,Nearly_Sorted,StringMergeSort,0.1928,9827
400,Nearly_Sorted,MSDRadix,0.0380,0
400,Nearly_Sorted,MSDRadix_Fallback,0.0090,4283
400,Common_Prefix,MergeSort,0.2579,45039
400,Common_Prefix,QuickSort,0.0493,54293
400,Common_Prefix,TernaryQuickSort,0.0211,16186
400,Common_Prefix,StringMergeSort,0.2560,50883
400,Common_Prefix,MSDRadix,0.0812,0
400,Common_Prefix,MSDRadix_Fallback,0.0440,1019
500,Random,MergeSort,0.2661,4856
500,Random,QuickSort,0.0323,5732
500,Random,TernaryQuickSort,0.0165,7234
500,Random,StringMergeSort,0.2642,12588
500,Random,MSDRadix,0.0459,0
500,Random,MSDRadix_Fallback,0.0078,1448
500,Reverse_Sorted,MergeSort,0.2412,3720
500,Reverse_Sorted,QuickSort,0.1891,134080
500,Reverse_Sorted,TernaryQuickSort,0.0138,9273
500,Reverse_Sorted,StringMergeSort,0.2431,8152
